segment,K,lags,lambda_f,lambda_x,lambda_w,alpha,eta,rmse,runtime
18,1,[1],0.1,0.1,1.0,100,0.1,0.791295660838879,3.021913528442383
19,4,[1],0.1,0.1,1.0,100,0.1,0.4360696067743115,4.236663818359375
20,1,[1],0.1,0.1,1.0,100,0.1,0.8296961832502551,2.8234457969665527
21,1,[1],0.1,0.1,1.0,100,0.1,0.8678744905939393,2.7775678634643555
22,1,[1],0.1,0.1,1.0,100,0.1,0.9849663703148936,2.7875406742095947
23,2,[1],0.1,0.1,1.0,100,0.1,1.3921520120710067,4.072103977203369
24,1,[1],0.1,0.1,1.0,100,0.1,0.6409675631833116,2.8723137378692627
25,2,[1],0.1,0.1,1.0,100,0.1,1.1128109322685176,3.7360033988952637
26,1,[1],0.1,0.1,1.0,100,0.1,1.3428479223074747,3.0458498001098633
27,2,[1],0.1,0.1,1.0,100,0.1,3.5112758405573175,3.5305516719818115
28,2,[1],0.1,0.1,1.0,100,0.1,0.594829596200703,3.67815899848938
29,2,[1],0.1,0.1,1.0,100,0.1,1.0437018257240624,3.409877300262451
30,2,[1],0.1,0.1,1.0,100,0.1,0.730645013533443,3.425832986831665
